Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure	
0	366	então / olha [/1] olha que sorte que eu tive hhh //	então	AUX
366	784	então / olha [/1] olha que sorte que eu tive hhh //	olha [/1]	EMP
784	1953	então / olha [/1] olha que sorte que eu tive hhh //	olha que sorte que eu tive	COM
3187	3654	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	eu entrei [/2]	EMP
3654	4052	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	eu	SCA
4052	6384	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	entrava como dependência	COB
6384	6737	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	do [/1]	EMP
6737	7984	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	do meu pai	APC
7984	9011	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	mas aí minha mãe	TOP
9011	10148	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	ela [/1]	EMP
10148	10765	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	&he	TMT
10765	11888	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	isso é coisa boa	PAR
11888	12998	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	ela foi promovida	COB
12998	14587	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	e aí ela começou a [/1]	COB
14587	15964	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	nesse trabalho novo dela	PAR
15964	17041	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	começou a ganhar mais	COB
17041	19014	eu entrei [/2] eu / entrava como dependência / do [/1] do meu pai / mas aí minha mãe / ela [/1] &he / isso é coisa boa / ela foi promovida / e aí ela começou a [/1] nesse trabalho novo dela / começou a ganhar mais / e ela começou a ganhar mais que meu pai também //́	e ela começou a ganhar mais que meu pai também	COM
19494	20006	aí / por alguma razão / eu nũ sei se é por causa do [/1] já o tempo que eu tô fora de casa / ou / também por causa disso / de o salário dele não ser mais a [/1] a renda maior da casa / eu nũ [/1] nũ entendi muito bem quando eles me [/1] me explicaram / mas algo assim //	aí	AUX
20006	20920	aí / por alguma razão / eu nũ sei se é por causa do [/1] já o tempo que eu tô fora de casa / ou / também por causa disso / de o salário dele não ser mais a [/1] a renda maior da casa / eu nũ [/1] nũ entendi muito bem quando eles me [/1] me explicaram / mas algo assim //	por alguma razão	TOP
20920	22557	aí / por alguma razão / eu nũ sei se é por causa do [/1] já o tempo que eu tô fora de casa / ou / também por causa disso / de o salário dele não ser mais a [/1] a renda maior da casa / eu nũ [/1] nũ entendi muito bem quando eles me [/1] me explicaram / mas algo assim //	eu nũ sei se é por causa do [/1]	SCA
22557	25674	aí / por alguma razão / eu nũ sei se é por causa do [/1] já o tempo que eu tô fora de casa / ou / também por causa disso / de o salário dele não ser mais a [/1] a renda maior da casa / eu nũ [/1] nũ entendi muito bem quando eles me [/1] me explicaram / mas algo assim //	já o tempo que eu tô fora de casa	PAR
25674	26022	aí / por alguma razão / eu nũ sei se é por causa do [/1] já o tempo que eu tô fora de casa / ou / também por causa disso / de o salário dele não ser mais a [/1] a renda maior da casa / eu nũ [/1] nũ entendi muito bem quando eles me [/1] me explicaram / mas algo assim //	ou	SCA
26022	27563	aí / por alguma razão / eu nũ sei se é por causa do [/1] já o tempo que eu tô fora de casa / ou / também por causa disso / de o salário dele não ser mais a [/1] a renda maior da casa / eu nũ [/1] nũ entendi muito bem quando eles me [/1] me explicaram / mas algo assim //	também por causa disso	PAR
27563	29529	aí / por alguma razão / eu nũ sei se é por causa do [/1] já o tempo que eu tô fora de casa / ou / também por causa disso / de o salário dele não ser mais a [/1] a renda maior da casa / eu nũ [/1] nũ entendi muito bem quando eles me [/1] me explicaram / mas algo assim //	de o salário dele não ser mais a [/1]	SCA
