Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure	
812	2600	mas / essa agência Status / aonde a gente ia / quando a gente era criança / virou / a Status //	mas	AUX
2600	4370	mas / essa agência Status / aonde a gente ia / quando a gente era criança / virou / a Status //	essa agência Status	TOP
4370	5588	mas / essa agência Status / aonde a gente ia / quando a gente era criança / virou / a Status //	aonde a gente ia	PAR
5588	7444	mas / essa agência Status / aonde a gente ia / quando a gente era criança / virou / a Status //	quando a gente era criança	PAR
7444	9404	mas / essa agência Status / aonde a gente ia / quando a gente era criança / virou / a Status //	virou	SCA
9404	10345	mas / essa agência Status / aonde a gente ia / quando a gente era criança / virou / a Status //	a Status	COM
10345	12203	Status foi por muito tempo / assim / tipo um centro ali lá na [/1] na [/1] na Savassi //	Status foi por muito tempo	COM
12203	12592	Status foi por muito tempo / assim / tipo um centro ali lá na [/1] na [/1] na Savassi //	assim	AUX
12592	13870	Status foi por muito tempo / assim / tipo um centro ali lá na [/1] na [/1] na Savassi //	tipo um centro ali na [/1]	SCA
13870	14215	Status foi por muito tempo / assim / tipo um centro ali lá na [/1] na [/1] na Savassi //	na [/1]	EMP
14215	15049	Status foi por muito tempo / assim / tipo um centro ali lá na [/1] na [/1] na Savassi //	na Savassi	COM
15317	15835	sabe +	sabe +	AUX
16715	18080	quando você veio pra cá / eles já tinham fechado ali tudo na praça da Savassi né //	quando você veio pra cá	TOP
18080	20601	quando você veio pra cá / eles já tinham fechado ali tudo na praça da Savassi né //	eles já tinham fechado ali tudo na praça da Savassi né //	COM
22891	23697	não não / eu falo quando você veio pra beagá //	não não	AUX
23697	24981	não não / eu falo quando você veio pra beagá //	eu falo quando você veio pra beagá	COM
26112	27087	<já> / <já> / já era o calçadão / antes nũ era //	<já>	EMP
27087	27415	<já> / <já> / já era o calçadão / antes nũ era //	<já>	CMM
27415	28003	<já> / <já> / já era o calçadão / antes nũ era //	já era o calçadão	CMM
28003	28771	<já> / <já> / já era o calçadão / antes nũ era //	antes nũ era	COM
29475	29912	né / então / a [/1] a [/1] a agência Status assim / ela foi parte / sabe / da vida de [/1] de &m [/2] de muita gente //	né	AUX
29912	30773	né / então / a [/1] a [/1] a agência Status assim / ela foi parte / sabe / da vida de [/1] de &m [/2] de muita gente //	então	AUX
