Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure	
6680	7007	cara / precisa / porque +	cara	AUX
7007	7471	cara / precisa / porque +	precisa	COB
7471	8369	cara / precisa / porque +	porque +	AUX
8369	9965	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	e outra é que	INT
9965	12247	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	na cultura	SCA
12247	12996	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	grega né	TOP
12996	13465	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	digamos assim	PAR
13465	14522	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	pelo que a gente tem de	PAR
14522	15590	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	crítica até hoje	PAR
15590	15763	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	né	PAR
15763	17363	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	que consegue entrever isso	PAR
17363	19206	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	é muito importante a [/1]	SCA
19206	20615	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	a questão da procedência	COM
20615	20980	e outra é que / na cultura / grega né / digamos assim / pelo que a gente tem de / crítica até hoje / né / que consegue entrever isso / é muito importante a [/1] a questão da procedência / né //	né	AUX
21560	22015	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	e isso	TOP
22015	23045	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	não só na cultura  grega	COB
23045	24645	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	como a gente sabe que na cultura hebraica	PAR
24645	25227	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	foi também	PAR
25227	26200	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	a questão da procedência	PAR
26200	26302	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	né	PAR
26302	27144	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	judaico-cristã	PAR
27144	28520	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	por muito tempo	PAR
28520	29239	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	&he	TMT
29239	29821	e isso / não só na cultura  grega / como a gente sabe que na cultura hebraica / foi também / a questão da procedência / né / judaico-cristã / por muito tempo / &he / é tipo isso //	é tipo isso	COM
29821	31127	me diga com quem andas / dir-te-ei as manhas que tens / sabe //	me diga com quem andas	CMM
31127	32422	me diga com quem andas / dir-te-ei as manhas que tens / sabe //	 dir-te-ei as manhas que tens	CMM
32422	32812	me diga com quem andas / dir-te-ei as manhas que tens / sabe //	sabe	AUX
33372	34139	que é tipo assim / qual é a sua linhagem //	que é tipo assim	INT
34139	35470	que é tipo assim / qual é a sua linhagem //	qual é a sua linhagem	COM
35923	36395	e outra / porque / diferente do que a gente pensa / cê não tinha documento igual cê tem agora //	e outra	TOP
36395	36691	e outra / porque / diferente do que a gente pensa / cê não tinha documento igual cê tem agora //	porque	APT
36691	37919	e outra / porque / diferente do que a gente pensa / cê não tinha documento igual cê tem agora //	diferente do que a gente pensa	TOP
37919	40341	e outra / porque / diferente do que a gente pensa / cê não tinha documento igual cê tem agora //	cê não tinha documento igual cê tem agora	COM
40341	41383	em que cê tem / a sua família garantida por documento / porque você é filho de nũ sei o que / seu erregê vem / escrito isso / cê tem certidão de nascimento / nũ tinha isso // 	em que cê tem	SCA
41383	43541	em que cê tem / a sua família garantida por documento / porque você é filho de nũ sei o que / seu erregê vem / escrito isso / cê tem certidão de nascimento / nũ tinha isso // 	a sua família garantida por documento	COB
