Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure	
0	837	não miga / essas pessoas ainda não [/1] não tinham uma qualificação //	não miga	COB
837	2050	não miga / essas pessoas ainda não [/1] não tinham uma qualificação //	essas pessoas ainda não [/1]	SCA
2050	3382	não miga / essas pessoas ainda não [/1] não tinham uma qualificação //	não tinham uma qualificação	COM
3382	5062	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //	eu tô falando de um lugar que	INT
5062	5907	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //		
5907	6341	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //	por exemplo	INT
6341	6928	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //	dentro da teó	TOP
6928	7884	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //	a gente tem muito	SCA
7884	8935	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //	relato de experiência	COM
8935	9631	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //	por exemplo	APC
9631	12030	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //	que inclusive tô produzindo um	PAR
12030	13506	eu tô falando de um lugar que / por exemplo / dentro da teó / a gente tem muito / relato de experiência / por exemplo / que inclusive tô produzindo um / p' cê ver a dubiedade da coisa //	p' cê ver a dubiedade da coisa	PAR
13506	16418	e não é que relato de experiência seja menos ciência //	e não é que relato de experiência seja menos ciência	COM
16418	18201	mas é mais difícil de replicar //	mas é mais difícil de replicar	COM
18727	19439	que é o que se / procura dentro da ciência de uma dada forma / né //	que é o que se	SCA
19439	21320	que é o que se / procura dentro da ciência de uma dada forma / né //	procura dentro da ciência de uma dada forma	CMM
21320	21572	que é o que se / procura dentro da ciência de uma dada forma / né //	né	CMM
21953	23636	então se eu fizer isso aqui c' esse sujeito aqui / eu posso fazer lá na China / se eu reproduzir meu método / tá ligado / dentro da cultura / e adequando et cetera / e vai dar bom / né //	então se eu fizer isso aqui c' esse sujeito aqui	CMM
23636	25187	então se eu fizer isso aqui c' esse sujeito aqui / eu posso fazer lá na China / se eu reproduzir meu método / tá ligado / dentro da cultura / e adequando et cetera / e vai dar bom / né //	eu posso fazer lá na China	CMM
