Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure	
0	910	disciplina de &graduaç +	disciplina de &graduaç +	EMP
15010	15962	é muito difícil //	é muito difícil	COM
17352	17700	<é> //	<é> //	COM
23792	24514	<sim> //	<sim> //	COM
25483	27131	é cara / é tipo é uma coisa muito [/6] eu nũ sei qual que foi exatamente a aula que cê pegou / dela / mas é uma coisa assim / cê vai tentando construir / coisas //	é cara	AUX
27131	30030	é cara / é tipo é uma coisa muito [/6] eu nũ sei qual que foi exatamente a aula que cê pegou / dela / mas é uma coisa assim / cê vai tentando construir / coisas //	é tipo é uma coisa muito [/6]	EMP
30030	32091	é cara / é tipo é uma coisa muito [/6] eu nũ sei qual que foi exatamente a aula que cê pegou / dela / mas é uma coisa assim / cê vai tentando construir / coisas //	eu nũ sei qual que foi exatamente a aula que cê pegou	COB
32091	33130	é cara / é tipo é uma coisa muito [/6] eu nũ sei qual que foi exatamente a aula que cê pegou / dela / mas é uma coisa assim / cê vai tentando construir / coisas //	dela	APC
33130	34272	é cara / é tipo é uma coisa muito [/6] eu nũ sei qual que foi exatamente a aula que cê pegou / dela / mas é uma coisa assim / cê vai tentando construir / coisas //	mas é uma coisa assim	INT
34272	35866	é cara / é tipo é uma coisa muito [/6] eu nũ sei qual que foi exatamente a aula que cê pegou / dela / mas é uma coisa assim / cê vai tentando construir / coisas //	cê vai tentando construir	SCA
35866	36357	é cara / é tipo é uma coisa muito [/6] eu nũ sei qual que foi exatamente a aula que cê pegou / dela / mas é uma coisa assim / cê vai tentando construir / coisas //	coisas	COM
36357	37008	e o que eu que eu +	e o que eu que eu +	EMP
37358	37910	por exemplo / &he / eu dou o IFA um //	por exemplo	INT
37910	38179	por exemplo / &he / eu dou o IFA um //	&he	TMT
38179	39303	por exemplo / &he / eu dou o IFA um //	eu dou o IFA um	COM
39303	40630	então que que eu faço no IFA um / geralmente //	então que que eu faço no IFA um	SCA
40630	41226	então que que eu faço no IFA um / geralmente //	geralmente	COM
41963	42676	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	eu vou [/2]	EMP
42676	43264	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	&he	TMT
43264	44405	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	eu vou explicando	SCA
44405	45843	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	o que é esperado deles	COB
45843	46185	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	por exemplo	PAR
46185	48237	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	se eles vão produzir um statement of purpose	PAR
48237	48982	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	que é o [/1]	SCA
48982	50259	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	a escrita dele	PAR
50259	51271	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	o que que é esperado	CMM
51271	52642	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	quais são as fases disso	CMM
52642	52868	eu vou [/2] &he / eu vou explicando / o que é esperado deles / por exemplo / se eles vão produzir um statement of purpose / que é o [/1] a escrita dele / o que que é esperado / quais são as fases disso / né //	né	AUX
53375	53795	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	e aí	AUX
53795	53942	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	&q [/1]	EMP
53942	54947	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	qual tipos de línguas	COB
54947	55821	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	vamos ler aqui o'	COB
55821	56890	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	vamos ver essas frases	COB
56890	58110	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	que que cês acharam dessas frases	COB
58110	59074	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	vamo tentar	SCA
59074	59981	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	discutir elas	COB
59981	61771	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	como são as construções	COB
61771	63790	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	tentar ver se eles tão conseguindo pegar o sentido	SCA
63790	64155	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	e tal	APC
64155	64831	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	<então>	AUX
64831	66124	e aí / &q [/1] qual tipos de línguas / vamos ler aqui o' / vamos ver essas frases / que que cês acharam dessas frases / vamo tentar / discutir elas / como são as construções / tentar ver se eles tão conseguindo pegar o sentido / e tal / <então> / é um passo a passo //	é um passo a passo	COM
66498	66888	tipo / porque não é uma coisa direta assim / &va [/1] escreva assim //	tipo	INT
66888	68043	tipo / porque não é uma coisa direta assim / &va [/1] escreva assim //	porque não é uma coisa direta assim	EMP
68043	68208	tipo / porque não é uma coisa direta assim / &va [/1] escreva assim //	&va [/1]	EMP
68208	69184	tipo / porque não é uma coisa direta assim / &va [/1] escreva assim //	escreva assim	COM
69184	69893	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	nũ é assim	COB
69893	70203	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	tendeu	AUX
70203	71406	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	é uma coisa que cê vai	SCA
71406	71934	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	construindo	COB
71934	73731	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	cê vai entendendo	SCA
73731	75149	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	coisas que não soam tão bem	COB
75149	76387	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	coisas que nũ soam tão &um [/1]	COB
76387	76633	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	&a [/1]	EMP
76633	76873	nũ é assim / tendeu / é uma coisa que cê vai / construindo / cê vai entendendo / coisas que não soam tão bem / coisas que nũ soam tão &um [/1] &a [/1] tendeu //	tendeu	COM
77895	78167	é / então assim / cê vai +	é	AUX
78167	79704	é / então assim / cê vai +	então assim	AUX
79704	80088	é / então assim / cê vai +	cê vai +	EMP
