Begin Time - msec	End Time - msec	Transcription	NTB	InfoStructure	
0	1635	e aí tem o projeto detalhado //	e aí tem o projeto detalhado	COM
1635	3936	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	que é onde você faz os cálculos mais de engenharia	SCA
3936	4993	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	mesmo	SCA
4993	5166	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	&pro [/1]	EMP
5166	6027	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	mais profundos né	COB
6027	6750	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	que tipo	INT
6750	7466	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	estrutural	COB
7466	9883	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	cê vê uma coisa aerodinâmica mais	SCA
9883	10694	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	detalhada	COM
10694	11246	que é onde você faz os cálculos mais de engenharia / mesmo / &pro [/1] mais profundos né / que tipo / estrutural / cê vê uma coisa aerodinâmica mais / detalhada / e tal //	e tal	APC
12058	13708	&he / aí / só que aí normalmente a gente tem que estender ao máximo o ante projeto / porque é a parte do projeto que você tem +	&he	AUX
13708	14726	&he / aí / só que aí normalmente a gente tem que estender ao máximo o ante projeto / porque é a parte do projeto que você tem +	aí	AUX
14726	18122	&he / aí / só que aí normalmente a gente tem que estender ao máximo o ante projeto / porque é a parte do projeto que você tem +	só que aí normalmente a gente tem que estender ao máximo o anteprojeto	COB
18122	21463	&he / aí / só que aí normalmente a gente tem que estender ao máximo o ante projeto / porque é a parte do projeto que você tem +	porque é a parte do projeto que você tem +	EMP
21463	22048	tipo assim / se ocê / consegue uma coisa melhor / no anteprojeto / seu / benefício no final das contas é muito maior / tendeu //	tipo assim	INT
22048	22614	tipo assim / se ocê / consegue uma coisa melhor / no anteprojeto / seu / benefício no final das contas é muito maior / tendeu //	se ocê	SCA
